,short_name,total
1908,L. Baines,76.0
1172,F. Delph,76.0
29,Piqué,76.0
553,S. Vrsaljko,76.0
734,J. Hector,76.0
563,Everton Andrão,76.0
232,Danilo Pereira,76.0
330,H. Aouar,76.0
566,M. Baldona,76.0
720,D. Caligiuri,76.0
1742,A. Nagy,76.0
930,Rafael,76.0
190,F. Bernardeschi,76.0
735,Rubén Peña,76.0
416,Y. Tielemans,76.0
451,A. Oxlade-Chamberlain,76.0
1049,W. Cyprien,76.0
885,V. Moses,76.0
574,Merino,76.0
705,Cote,76.0
643,B. Davies,76.0
881,S. Defour,76.0
151,Pizzi,76.0
63,Roberto Firmino,76.0
266,N. Tagliafico,76.0
520,M. Hasebe,76.0
806,M. Meyer,75.66666666666667
249,Nélson Semedo,75.66666666666667
270,M. Götze,75.66666666666667
287,D. De Rossi,75.66666666666667
818,S. Meïté,75.66666666666667
334,D. van de Beek,75.66666666666667
677,D. Criscito,75.66666666666667
0,L. Messi,75.66666666666667
935,B. André,75.66666666666667
40,A. Laporte,75.66666666666667
584,F. Kessié,75.66666666666667
358,João Mário,75.66666666666667
220,A. Ramsey,75.66666666666667
194,Bartra,75.66666666666667
1192,A. Westwood,75.66666666666667
657,K. Lala,75.66666666666667
514,L. Bender,75.66666666666667
1444,Y. Zhirkov,75.66666666666667
424,F. Mendy,75.66666666666667
27,C. Eriksen,75.66666666666667
621,L. Dubois,75.66666666666667
576,L. Pellegrini,75.66666666666667
50,T. Alderweireld,75.33333333333333
404,Dani García,75.33333333333333
1757,V. Lazaro,75.33333333333333
585,A. Hakimi,75.33333333333333
979,J. Seri,75.33333333333333
750,E. Riquero,75.33333333333333
67,L. Bonucci,75.33333333333333
1108,M. Plattenhardt,75.33333333333333
68,Coutinho,75.33333333333333
719,E. Pérez,75.33333333333333
559,I. Marcone,75.33333333333333
1013,Renan Lodi,75.33333333333333
721,Danilo,75.33333333333333
436,M. Eggestein,75.33333333333333
772,L. Dendoncker,75.33333333333333
335,V. Lindelöf,75.33333333333333
176,T. Lemar,75.33333333333333
655,S. Aurier,75.33333333333333
778,Aarón Martín,75.33333333333333
216,David Luiz,75.33333333333333
660,T. Savanier,75.33333333333333
816,J. Veretout,75.33333333333333
172,J. Stones,75.33333333333333
659,D. Baselli,75.33333333333333
41,Bernardo Silva,75.33333333333333
787,M. Lemina,75.33333333333333
1119,L. Kurzawa,75.33333333333333
670,M. Debuchy,75.33333333333333
1478,Vieirinha,75.33333333333333
437,Odriozola,75.0
439,Sergi Darder,75.0
516,E. Capoue,75.0
619,M. Sanson,75.0
680,K. Boateng,75.0
608,J. Gbamin,75.0
480,Manu Trigueros,75.0
453,A. Mandi,75.0
681,A. Fernández,75.0
683,Nacho Monreal,75.0
724,M. Badelj,75.0
363,J. Corona,75.0
481,H. Çalhanoğlu,75.0
385,Beñat,75.0
1534,M. Jajalo,75.0
794,B. Santamaria,75.0
727,D. Suárez,75.0
789,E. Pulgar,75.0
1024,N. Mazraoui,75.0
1008,Wendel,75.0
1164,M. Layún,75.0
1002,Y. Atal,75.0
1181,Maurício,75.0
1182,A. Poli,75.0
1194,Victor Sánchez,75.0
952,K. Malcuit,75.0
1213,André André,75.0
912,Adrien Silva,75.0
902,J. Holebas,75.0
811,E. Skhiri,75.0
1204,Rômulo,75.0
744,Maikel Catarino,75.0
283,F. Kostić,75.0
729,Mário Rui,75.0
575,S. Berge,74.66666666666667
969,M. de Roon,74.66666666666667
1189,D. Janmaat,74.66666666666667
592,S. Lobotka,74.66666666666667
596,A. Diallo,74.66666666666667
771,B. Cristante,74.66666666666667
599,B. Chilwell,74.66666666666667
603,J. Ward-Prowse,74.66666666666667
934,N. Clyne,74.66666666666667
618,Jonny,74.66666666666667
703,J. Wilshere,74.66666666666667
375,Cesc Fàbregas,74.66666666666667
1424,B. Schweinsteiger,74.66666666666667
1225,F. Fajr,74.66666666666667
712,Escudero,74.66666666666667
2542,J. Sánchez Miño,74.66666666666667
350,W. Ndidi,74.66666666666667
114,L. Hernández,74.66666666666667
996,M. Grujić,74.66666666666667
428,Héctor Bellerín,74.66666666666667
1007,C. Nkunku,74.66666666666667
1156,Z. Junuzović,74.66666666666667
527,Y. M'Vila,74.66666666666667
1038,K. Laimer,74.66666666666667
1042,W. Hughes,74.66666666666667
59,S. Umtiti,74.66666666666667
1046,M. Benassi,74.66666666666667
1132,D. Baier,74.66666666666667
2076,L. Zuffi,74.66666666666667
483,M. Halstenberg,74.66666666666667
1416,Ricardo Esgaio,74.66666666666667
476,P. Kadeřábek,74.66666666666667
863,J. Sosa,74.66666666666667
801,T. Vilhena,74.66666666666667
687,R. Vormer,74.66666666666667
878,J. dos Santos,74.66666666666667
685,Granero,74.66666666666667
1197,T. Rincón,74.33333333333333
920,Rafael Carioca,74.33333333333333
127,Felipe Anderson,74.33333333333333
1053,L. Miranda,74.33333333333333
740,Petros,74.33333333333333
942,R. Soriano,74.33333333333333
990,G. Quintana,74.33333333333333
1599,Andeson Trigo,74.33333333333333
106,J. Rodríguez,74.33333333333333
689,A. Lallana,74.33333333333333
1783,S. Sturaro,74.33333333333333
601,T. Souček,74.33333333333333
663,D. Zappacosta,74.33333333333333
832,Fernando,74.33333333333333
1196,J. Kucka,74.33333333333333
1369,A. Masuaku,74.33333333333333
597,B. Pavard,74.33333333333333
587,Marc Roca,74.33333333333333
539,R. Pereyra,74.33333333333333
783,Óliver Torres,74.33333333333333
1922,L. De Silvestri,74.33333333333333
1788,J. Willems,74.33333333333333
1590,B. Ndiaye,74.33333333333333
884,Coke,74.33333333333333
195,Pablo Sarabia,74.33333333333333
692,Yuri Berchiche,74.33333333333333
1087,D. Kuzyaev,74.33333333333333
1084,Wendell,74.33333333333333
469,H. Vanaken,74.33333333333333
773,M. Dahoud,74.33333333333333
1925,C. Erkin,74.33333333333333
1081,Y. Gerhardt,74.33333333333333
1430,B. Džemaili,74.33333333333333
631,M. Arnold,74.33333333333333
1999,T. Arslan,74.33333333333333
1522,Kiko Femenía,74.33333333333333
170,M. Akanji,74.33333333333333
911,Bruno,74.33333333333333
620,J. Lerma,74.33333333333333
1285,M. Locatelli,74.33333333333333
713,Mario Gaspar,74.0
100,G. Bale,74.0
1654,A. Diawara,74.0
435,T. Bakayoko,74.0
1533,Júnior Caiçara,74.0
728,Roque Mesa,74.0
442,N. Aké,74.0
1036,M. Lopez,74.0
1052,P. Højbjerg,74.0
1140,A. Young,74.0
1131,P. Hrošovský,74.0
1520,A. Cresswell,74.0
1079,P. Max,74.0
1514,Diogo Viana,74.0
1115,Pedro Obiang,74.0
1114,M. van Ginkel,74.0
1044,Andreas Pereira,74.0
693,Mariano,74.0
843,Sérgio Oliveira,74.0
1184,D. Drinkwater,74.0
849,D. Demme,74.0
1260,R. Mandragora,74.0
391,Fernando,74.0
835,Omar Mascarell,74.0
622,F. Grillitsch,74.0
140,I. Perišić,74.0
824,H. Hateboer,74.0
941,Jaume Costa,74.0
595,A. Golovin,74.0
821,R. Gagliardini,74.0
877,R. Bertrand,74.0
1226,L. Castro,74.0
746,Melvin Parrela,74.0
1408,O. Onazi,74.0
649,R. Malinovskyi,74.0
417,Mario Hermoso,74.0
1658,Fran Beltrán,74.0
2501,S. Corchia,74.0
976,I. Fernández,74.0
2476,M. Valdifiori,74.0
180,J. Draxler,74.0
2203,S. Lukić,73.66666666666667
1436,O. Wendt,73.66666666666667
1076,J. Lukaku,73.66666666666667
1122,M. De Sciglio,73.66666666666667
1239,P. Pérez,73.66666666666667
2977,C. Fuchs,73.66666666666667
1117,D. Sidibé,73.66666666666667
802,Denis Suárez,73.66666666666667
1051,N. Bentaleb,73.66666666666667
477,C. Kramer,73.66666666666667
989,E. Guichón,73.66666666666667
984,Ronaldo Esler,73.66666666666667
980,R. Battaglia,73.66666666666667
1393,S. Widmer,73.66666666666667
883,Manu García,73.66666666666667
2352,F. Viviani,73.66666666666667
1163,Miguel Veloso,73.66666666666667
796,Joan Jordán,73.66666666666667
1010,L. Martínez,73.66666666666667
779,E. Bardhi,73.66666666666667
770,O. Yokuşlu,73.66666666666667
1025,F. Bustos,73.66666666666667
1193,D. Latza,73.66666666666667
602,Junior Firpo,73.66666666666667
2515,J. Obi,73.66666666666667
986,Everticinho,73.66666666666667
780,N. Maksimović,73.66666666666667
1440,M. Noble,73.66666666666667
972,F. Fabra,73.66666666666667
571,A. Wan-Bissaka,73.66666666666667
1105,P. Lees-Melou,73.66666666666667
423,Marcos Llorente,73.66666666666667
143,J. Boateng,73.66666666666667
219,G. Sigurðsson,73.66666666666667
1523,S. Zuber,73.66666666666667
418,Carlos Soler,73.66666666666667
1827,A. Duncan,73.66666666666667
1715,Y. Bissouma,73.66666666666667
1696,G. Donsah,73.66666666666667
343,G. Xhaka,73.66666666666667
443,E. Hysaj,73.66666666666667
1571,Toño García,73.66666666666667
366,L. Milivojević,73.66666666666667
1896,G. Gönül,73.66666666666667
1615,S. Tonali,73.66666666666667
2040,M. Lowton,73.66666666666667
1565,Aleix Vidal,73.66666666666667
1329,L. Augustinsson,73.33333333333333
546,Ibai Gómez,73.33333333333333
757,M. Zaracho,73.33333333333333
928,Iborra,73.33333333333333
954,S. Rode,73.33333333333333
1139,G. Clichy,73.33333333333333
1461,J. Cork,73.33333333333333
2046,J. Hendrick,73.33333333333333
1059,S. Sensi,73.33333333333333
1207,J. Martin,73.33333333333333
1362,C. Taylor,73.33333333333333
1456,D. Basta,73.33333333333333
1022,N. Nández,73.33333333333333
633,F. Schär,73.33333333333333
632,S. Kolašinac,73.33333333333333
637,R. Aguilar,73.33333333333333
1012,Reguilón,73.33333333333333
1154,L. Schøne,73.33333333333333
658,S. Arias,73.33333333333333
1392,C. McGregor,73.33333333333333
926,Souza,73.33333333333333
1988,João Aurélio,73.33333333333333
1045,Emerson,73.33333333333333
1185,Claudemir,73.33333333333333
1979,J. McCarthy,73.33333333333333
1977,M. Isla,73.33333333333333
1187,A. Dzagoev,73.33333333333333
1065,O. Selnæs,73.33333333333333
1965,J. Allen,73.33333333333333
848,R. Freuler,73.33333333333333
2953,Sidcley,73.33333333333333
1278,Gedson Fernandes,73.33333333333333
1230,Marçal,73.33333333333333
1093,O. Özyakup,73.33333333333333
1530,A. Smith,73.33333333333333
2627,Elias Fontoira,73.33333333333333
1932,S. Kums,73.33333333333333
1242,A. Marušić,73.33333333333333
1894,P. Zabaleta,73.33333333333333
1507,T. Gebre Selassie,73.33333333333333
3064,J. Pied,73.33333333333333
1251,S. Luna,73.0
3446,D. Sinkgraven,73.0
1238,M. Casco,73.0
707,J. Pastore,73.0
1267,W. McKennie,73.0
1980,M. Wakaso,73.0
591,R. Loftus-Cheek,73.0
403,Lucas Vázquez,73.0
475,D. Klaassen,73.0
1378,R. Gosens,73.0
84,C. Lenglet,73.0
402,F. Vázquez,73.0
846,M. Doherty,73.0
66,A. Di María,73.0
978,Marcelo Goiano,73.0
2223,F. Quignon,73.0
987,Sidney Pessinho,73.0
323,Morales,73.0
676,N. Moisander,73.0
1158,V. Odjidja-Ofoe,73.0
2557,João Pereira,73.0
1406,Cédric,73.0
1027,M. Rojas,73.0
1419,G. Shibasaki,73.0
95,H. Ziyech,73.0
2099,André Simões,73.0
491,J. Mascherano,73.0
1020,L. Cook,73.0
2008,E. Badu,73.0
1818,Rodrigo,73.0
1427,A. Hutchinson,73.0
557,T. Stepanenko,73.0
2282,Y. Ayoub,73.0
1915,G. Castro,73.0
1309,Zubeldia,73.0
733,A. Samaris,73.0
2377,M. Trauco,73.0
1488,A. Ekdal,73.0
2105,Jorginhson,73.0
1222,A. Trebel,73.0
1543,A. Mooy,73.0
2045,L. Rupp,73.0
1492,R. Rosales,73.0
1600,Victildinho,73.0
1653,B. Henrichs,73.0
1322,Y. Aït Bennasser,73.0
781,Calero,73.0
1321,Eduardo Henrique,73.0
192,Oscar,73.0
1298,T. Koopmeiners,72.66666666666667
1614,K. Berlaso,72.66666666666667
260,J. Matip,72.66666666666667
2445,Adrián González,72.66666666666667
641,D. da Costa,72.66666666666667
918,C. Grenier,72.66666666666667
2006,P. Lasne,72.66666666666667
1420,R. Aliendro,72.66666666666667
858,Capa,72.66666666666667
1301,K. Linetty,72.66666666666667
1210,Tomás Pina,72.66666666666667
1249,L. Baezo,72.66666666666667
164,Anderson Talisca,72.66666666666667
932,De Marcos,72.66666666666667
2420,L. Cigarini,72.66666666666667
1671,A. Fulgini,72.66666666666667
1252,V. Castro,72.66666666666667
136,Javi Martínez,72.66666666666667
2946,L. Gil,72.66666666666667
1593,Alexo Baia,72.66666666666667
1280,I. Sangaré,72.66666666666667
1351,Camarasa,72.66666666666667
123,Luis Alberto,72.66666666666667
3010,C. Daniels,72.66666666666667
1810,A. Conti,72.66666666666667
1991,D. Santon,72.66666666666667
1918,Zeca,72.66666666666667
1681,M. Saracchi,72.66666666666667
1631,Diogo Dalot,72.66666666666667
995,E. Palacios,72.66666666666667
332,Éder Militão,72.66666666666667
756,F. Neuhaus,72.66666666666667
2948,G. Di Lorenzo,72.66666666666667
994,D. Calabria,72.66666666666667
2451,F. Frei,72.66666666666667
1563,R. Brady,72.66666666666667
1434,A. Turan,72.66666666666667
1466,D. Zurutuza,72.66666666666667
586,D. Samassékou,72.66666666666667
1063,R. Marin,72.66666666666667
1449,Léo Matos,72.66666666666667
540,Y. Belhanda,72.66666666666667
394,Luiz Gustavo,72.66666666666667
538,K. Vogt,72.66666666666667
1556,J. Clasie,72.66666666666667
1482,T. Mangani,72.66666666666667
530,S. Nzonzi,72.66666666666667
1442,P. Skjelbred,72.66666666666667
1028,S. McTominay,72.66666666666667
2053,J. Schmid,72.66666666666667
370,J. Mathieu,72.66666666666667
1504,P. van Aanholt,72.66666666666667
3703,C. Jallet,72.66666666666667
1983,D. Brosinski,72.33333333333333
2038,N. Mendy,72.33333333333333
1062,M. Arambarri,72.33333333333333
1805,L. Menossi,72.33333333333333
2169,Pablo Maffeo,72.33333333333333
919,Camacho,72.33333333333333
1845,J. Tavernier,72.33333333333333
2100,G. Giménez,72.33333333333333
1734,Danilo,72.33333333333333
1162,M. Schneiderlin,72.33333333333333
1989,B. Oczipka,72.33333333333333
678,A. Candreva,72.33333333333333
1731,L. Olaza,72.33333333333333
2528,B. Dabo,72.33333333333333
1381,Dalbert,72.33333333333333
1961,Y. Sankharé,72.33333333333333
1726,J. McGinn,72.33333333333333
2009,A. Ioniță,72.33333333333333
319,J. Lingard,72.33333333333333
1736,M. Wolf,72.33333333333333
1884,R. Cohade,72.33333333333333
1272,T. Castagne,72.33333333333333
2562,P. Capelle,72.33333333333333
1758,D. Cataldi,72.33333333333333
1338,V. Guzmán,72.33333333333333
2421,L. Antonelli,72.33333333333333
1018,M. Pašalić,72.33333333333333
2052,Recio,72.33333333333333
945,Hugo Mallo,72.33333333333333
822,R. Saravia,72.33333333333333
278,Gabriel Paulista,72.33333333333333
1485,Ki Sung Yueng,72.33333333333333
2999,J. Mikel,72.33333333333333
1972,M. Ritchie,72.33333333333333
23,P. Dybala,72.33333333333333
73,M. de Ligt,72.33333333333333
938,J. Guðmundsson,72.0
37,M. Reus,72.0
937,P. Groß,72.0
1464,J. McArthur,72.0
947,T. Cairney,72.0
2149,E. Cecchini,72.0
1335,I. Kahveci,72.0
1337,Pedraza,72.0
1842,O. Elabdellaoui,72.0
1327,D. Praet,72.0
1642,Renato Sanches,72.0
1854,A. Ring,72.0
502,S. Radu,72.0
1640,J. Jankto,72.0
1756,N. Chalobah,72.0
2416,P. Hetemaj,72.0
3129,Douglas,72.0
2070,Lucas Lima,72.0
1082,B. Bourigeaud,72.0
1228,S. Ristovski,72.0
1077,K. Ayhan,72.0
528,L. Stindl,72.0
2462,J. van der Heijden,72.0
1126,M. Elneny,72.0
1245,Gazzolisco,72.0
951,B. Stambouli,72.0
497,L. Perrin,72.0
1906,V. Behrami,72.0
2614,Claudiano Sobrino,72.0
1307,L. Blas,72.0
839,V. Wanyama,72.0
1066,R. Pizarro,72.0
1477,F. Johnson,72.0
1674,S. Serdar,72.0
1541,Montoya,72.0
1096,C. Coady,72.0
1962,M. Darmian,72.0
1040,Córdoba,72.0
3391,O. Etebo,72.0
2229,R. Durmisi,72.0
1445,M. Bradley,72.0
2254,S. Prcić,72.0
126,S. de Vrij,72.0
398,H. Mkhitaryan,72.0
3520,A. Najar,72.0
395,N. Nkoulou,72.0
977,N. Domínguez,72.0
1409,T. Monconduit,72.0
1411,Alberto Moreno,72.0
1551,M. Höger,72.0
2237,B. Zungu,72.0
1733,R. Karsdorp,72.0
1562,V. Darida,72.0
1578,E. Mena,72.0
356,M. Ginter,72.0
2168,P. Billing,72.0
2026,Tiago Pinto,72.0
570,Lucas Paquetá,72.0
2211,Unai López,72.0
1006,N. Mukiele,72.0
1970,O. Norwood,72.0
1567,J. Bořil,72.0
4014,Porphirinho,71.66666666666667
2240,V. Vada,71.66666666666667
2067,F. Novák,71.66666666666667
19,L. Suárez,71.66666666666667
2622,Jesus Andradaldo,71.66666666666667
1773,M. Rog,71.66666666666667
2586,B. Alemán,71.66666666666667
1233,R. Saïss,71.66666666666667
1865,J. Mojica,71.66666666666667
1291,I. Doumbia,71.66666666666667
1638,O. Aina,71.66666666666667
2005,L. Rodríguez,71.66666666666667
2419,O. Trejo,71.66666666666667
1261,K. Tierney,71.66666666666667
474,J. Guilavogui,71.66666666666667
3042,Luisinho,71.66666666666667
1109,D. Pröpper,71.66666666666667
1110,N. Gudelj,71.66666666666667
1259,A. Maier,71.66666666666667
3038,E. Insúa,71.66666666666667
1792,Clinton Mata,71.66666666666667
1574,D. Garmash,71.66666666666667
1713,G. Konan,71.66666666666667
4424,E. Hallfreðsson,71.66666666666667
2437,G. Bong,71.66666666666667
4,E. Hazard,71.66666666666667
9,M. Salah,71.66666666666667
616,E. Dier,71.66666666666667
3102,V. Manceau,71.66666666666667
2192,A. Cubas,71.66666666666667
1519,Iturraspe,71.66666666666667
2202,Pedro Rebocho,71.66666666666667
1864,G. Fernández,71.66666666666667
149,Canales,71.66666666666667
1431,L. Ponzio,71.66666666666667
2497,P. Pekarík,71.66666666666667
1620,M. Guendouzi,71.66666666666667
253,A. Correa,71.66666666666667
1554,S. Taïder,71.66666666666667
2139,I. Bennacer,71.66666666666667
929,J. Baumgartlinger,71.66666666666667
1475,M. Fellaini,71.66666666666667
2145,Douglas Luiz,71.66666666666667
1060,M. Gaćinović,71.66666666666667
1366,Pere Pons,71.66666666666667
2054,J. Kurtić,71.66666666666667
1452,K. El Ahmadi,71.66666666666667
269,Muniain,71.66666666666667
1206,Fransérgio,71.66666666666667
2363,J. Ramírez,71.66666666666667
968,G. Pizarro,71.66666666666667
1823,J. Svensson,71.66666666666667
2354,D. Foulquier,71.66666666666667
1358,A. Maher,71.66666666666667
536,E. Salvio,71.66666666666667
1069,R. Bensebaini,71.66666666666667
1297,A. Haidara,71.66666666666667
1701,V. Koziello,71.66666666666667
479,Portu,71.66666666666667
1391,A. Thomasson,71.66666666666667
1835,K. Laifis,71.66666666666667
246,P. Kimpembe,71.66666666666667
2280,J. Geis,71.66666666666667
1969,K. Gibbs,71.66666666666667
1341,Xeka,71.66666666666667
1692,A. Grassi,71.33333333333333
2882,M. Çağıran,71.33333333333333
1057,Alex Berenguer,71.33333333333333
2,Neymar Jr,71.33333333333333
1056,G. Escalante,71.33333333333333
1776,M. Rits,71.33333333333333
1095,C. Piccini,71.33333333333333
2909,J. Fleck,71.33333333333333
950,G. Krychowiak,71.33333333333333
2737,L. Phiri,71.33333333333333
2456,Sergio Tejera,71.33333333333333
2615,Edvaldisco,71.33333333333333
1031,K. Mbabu,71.33333333333333
1668,Anuar,71.33333333333333
2544,T. Serero,71.33333333333333
901,M. Cáceres,71.33333333333333
2985,P. Verhaegh,71.33333333333333
2549,Y. Yotún,71.33333333333333
895,P. Diop,71.33333333333333
1852,B. Sarr,71.33333333333333
1869,H. Traoré,71.33333333333333
1041,P. Rosario,71.33333333333333
1673,T. Davies,71.33333333333333
1705,Melero,71.33333333333333
35,D. Godín,71.33333333333333
2799,Yuri Ribeiro,71.33333333333333
1779,F. Midtsjø,71.33333333333333
2558,M. Morozyuk,71.33333333333333
1946,O. Akhmedov,71.33333333333333
3453,F. Mattiello,71.33333333333333
2039,D. D'Ambrosio,71.33333333333333
2404,D. Limberský,71.33333333333333
1286,M. Çelik,71.33333333333333
2400,G. İnler,71.33333333333333
2176,Lato,71.33333333333333
3787,M. Rybus,71.33333333333333
805,I. Amadou,71.33333333333333
2030,J. Fuenzalida,71.33333333333333
298,Willian,71.33333333333333
3721,S. Ward,71.33333333333333
3168,B. Dejaegere,71.33333333333333
1303,A. Živković,71.33333333333333
2012,E. Giaccherini,71.33333333333333
4675,M. Cabrera,71.33333333333333
2389,F. Belluschi,71.33333333333333
2221,Pol Lirola,71.33333333333333
1617,N. Domínguez,71.33333333333333
1583,M. Uribe,71.33333333333333
1384,V. Coufal,71.33333333333333
2247,William,71.33333333333333
2249,R. Krunić,71.33333333333333
280,H. Maguire,71.33333333333333
1454,S. Sessègnon,71.33333333333333
3729,M. Suttner,71.33333333333333
2311,G. Cimirot,71.33333333333333
425,Melendo,71.33333333333333
856,D. Laxalt,71.33333333333333
3960,R. Delgado,71.33333333333333
1489,D. Stephens,71.33333333333333
3840,M. Albornoz,71.33333333333333
2147,Adrià Pedrosa,71.33333333333333
2156,O. Mangala,71.33333333333333
510,I. Piatti,71.33333333333333
1639,A. Maitland-Niles,71.33333333333333
2241,R. Tapia,71.0
2647,I. Traoré,71.0
2833,Álex Fernández,71.0
2002,Dídac Vilà,71.0
1803,A. Tameze,71.0
868,Hilton,71.0
2097,O. Şahiner,71.0
1584,F. Mancuello,71.0
702,S. Kagawa,71.0
2081,L. Vangioni,71.0
346,M. Sabitzer,71.0
1820,V. Buyalskyi,71.0
2258,A. Baba,71.0
4555,Park Joo Ho,71.0
3396,J. Léa Siliki,71.0
1596,Emilio Piodão,71.0
2521,Iñigo Pérez,71.0
299,V. Ćorluka,71.0
1824,C. Biraghi,71.0
662,J. Veltman,71.0
3820,Fábio,71.0
2098,Granell,71.0
2723,André Horta,71.0
414,A. Christensen,71.0
1552,C. Ortíz,71.0
2739,O. Ntcham,71.0
594,L. Klostermann,71.0
3762,K. Nakamura,71.0
2055,D. Nagbe,71.0
1784,K. Stafylidis,71.0
606,N. Stark,71.0
2056,T. Chandler,71.0
1023,J. Mæhle,71.0
1517,Miguel Lopes,71.0
2194,E. Buendía,71.0
3709,N. Asare,71.0
3704,E. Barreto,71.0
624,R. Barkley,71.0
1717,Luis Milla,71.0
1426,H. Kaldırım,71.0
526,M. Musacchio,71.0
1413,Guilherme,71.0
