short_name,total
J. Vertonghen,77.66666666666667
I. Gueye,77.66666666666667
F. Ghoulam,77.66666666666667
Santi Cazorla,77.66666666666667
G. Kondogbia,77.66666666666667
T. Delaney,77.33333333333333
Gayà,77.33333333333333
C. Ansaldi,77.33333333333333
N. Şahin,77.33333333333333
G. Lo Celso,77.33333333333333
N. Barella,77.33333333333333
Gabriel,77.33333333333333
S. Rudy,77.33333333333333
Angeliño,77.33333333333333
L. Paredes,77.33333333333333
Casemiro,77.33333333333333
Borja Valero,77.33333333333333
D. Alli,77.33333333333333
Thiago Silva,77.0
Campaña,77.0
B. Mendy,77.0
Dani Ceballos,77.0
André Gomes,77.0
M. Weiser,77.0
V. van Dijk,77.0
V. Rongier,77.0
Rafinha,77.0
F. Coquelin,77.0
J. Cuadrado,77.0
H. Winks,77.0
M. Nérez,77.0
Pablo Fornals,76.66666666666667
A. Griezmann,76.66666666666667
T. Meunier,76.66666666666667
William Carvalho,76.66666666666667
K. Demirbay,76.66666666666667
L. Spinazzola,76.66666666666667
M. Díaz,76.66666666666667
L. Piszczek,76.66666666666667
N. Schulz,76.66666666666667
M. Parolo,76.66666666666667
Ismaily,76.66666666666667
D. Zakaria,76.66666666666667
Rubén Alcaraz,76.66666666666667
K. Strootman,76.66666666666667
S. Lulić,76.66666666666667
A. Doucouré,76.33333333333333
J. Weigl,76.33333333333333
David Silva,76.33333333333333
Fred,76.33333333333333
R. Bentancur,76.33333333333333
Antunes,76.33333333333333
N. Keïta,76.33333333333333
Rúben Neves,76.33333333333333
Jesús Navas,76.33333333333333
N. Matić,76.33333333333333
Raúl García,76.33333333333333
H. Herrera,76.33333333333333
Renato Augusto,76.33333333333333
Welington Dano,76.33333333333333
K. Kampl,76.33333333333333
Marquinhos,76.33333333333333
S. Coleman,76.33333333333333
L. Baines,76.0
F. Delph,76.0
Piqué,76.0
S. Vrsaljko,76.0
J. Hector,76.0
Everton Andrão,76.0
Danilo Pereira,76.0
H. Aouar,76.0
M. Baldona,76.0
D. Caligiuri,76.0
A. Nagy,76.0
Rafael,76.0
F. Bernardeschi,76.0
Rubén Peña,76.0
Y. Tielemans,76.0
A. Oxlade-Chamberlain,76.0
W. Cyprien,76.0
V. Moses,76.0
Merino,76.0
Cote,76.0
B. Davies,76.0
S. Defour,76.0
Pizzi,76.0
Roberto Firmino,76.0
N. Tagliafico,76.0
M. Hasebe,76.0
M. Meyer,75.66666666666667
Nélson Semedo,75.66666666666667
M. Götze,75.66666666666667
D. De Rossi,75.66666666666667
S. Meïté,75.66666666666667
D. van de Beek,75.66666666666667
D. Criscito,75.66666666666667
L. Messi,75.66666666666667
B. André,75.66666666666667
A. Laporte,75.66666666666667
F. Kessié,75.66666666666667
João Mário,75.66666666666667
A. Ramsey,75.66666666666667
Bartra,75.66666666666667
A. Westwood,75.66666666666667
K. Lala,75.66666666666667
L. Bender,75.66666666666667
Y. Zhirkov,75.66666666666667
F. Mendy,75.66666666666667
C. Eriksen,75.66666666666667
L. Dubois,75.66666666666667
L. Pellegrini,75.66666666666667
T. Alderweireld,75.33333333333333
Dani García,75.33333333333333
V. Lazaro,75.33333333333333
A. Hakimi,75.33333333333333
J. Seri,75.33333333333333
E. Riquero,75.33333333333333
L. Bonucci,75.33333333333333
M. Plattenhardt,75.33333333333333
Coutinho,75.33333333333333
E. Pérez,75.33333333333333
I. Marcone,75.33333333333333
Renan Lodi,75.33333333333333
Danilo,75.33333333333333
M. Eggestein,75.33333333333333
L. Dendoncker,75.33333333333333
V. Lindelöf,75.33333333333333
T. Lemar,75.33333333333333
S. Aurier,75.33333333333333
Aarón Martín,75.33333333333333
David Luiz,75.33333333333333
T. Savanier,75.33333333333333
J. Veretout,75.33333333333333
J. Stones,75.33333333333333
D. Baselli,75.33333333333333
Bernardo Silva,75.33333333333333
M. Lemina,75.33333333333333
L. Kurzawa,75.33333333333333
M. Debuchy,75.33333333333333
Vieirinha,75.33333333333333
Odriozola,75.0
Sergi Darder,75.0
E. Capoue,75.0
M. Sanson,75.0
K. Boateng,75.0
J. Gbamin,75.0
Manu Trigueros,75.0
A. Mandi,75.0
A. Fernández,75.0
Nacho Monreal,75.0
M. Badelj,75.0
J. Corona,75.0
H. Çalhanoğlu,75.0
Beñat,75.0
M. Jajalo,75.0
B. Santamaria,75.0
D. Suárez,75.0
E. Pulgar,75.0
N. Mazraoui,75.0
Wendel,75.0
M. Layún,75.0
Y. Atal,75.0
Maurício,75.0
A. Poli,75.0
Victor Sánchez,75.0
K. Malcuit,75.0
André André,75.0
Adrien Silva,75.0
J. Holebas,75.0
E. Skhiri,75.0
Rômulo,75.0
Maikel Catarino,75.0
F. Kostić,75.0
Mário Rui,75.0
S. Berge,74.66666666666667
M. de Roon,74.66666666666667
D. Janmaat,74.66666666666667
S. Lobotka,74.66666666666667
A. Diallo,74.66666666666667
B. Cristante,74.66666666666667
B. Chilwell,74.66666666666667
J. Ward-Prowse,74.66666666666667
N. Clyne,74.66666666666667
Jonny,74.66666666666667
J. Wilshere,74.66666666666667
Cesc Fàbregas,74.66666666666667
B. Schweinsteiger,74.66666666666667
F. Fajr,74.66666666666667
Escudero,74.66666666666667
J. Sánchez Miño,74.66666666666667
W. Ndidi,74.66666666666667
L. Hernández,74.66666666666667
M. Grujić,74.66666666666667
Héctor Bellerín,74.66666666666667
C. Nkunku,74.66666666666667
Z. Junuzović,74.66666666666667
Y. M'Vila,74.66666666666667
K. Laimer,74.66666666666667
W. Hughes,74.66666666666667
S. Umtiti,74.66666666666667
M. Benassi,74.66666666666667
D. Baier,74.66666666666667
L. Zuffi,74.66666666666667
M. Halstenberg,74.66666666666667
Ricardo Esgaio,74.66666666666667
P. Kadeřábek,74.66666666666667
J. Sosa,74.66666666666667
T. Vilhena,74.66666666666667
R. Vormer,74.66666666666667
J. dos Santos,74.66666666666667
Granero,74.66666666666667
T. Rincón,74.33333333333333
Rafael Carioca,74.33333333333333
Felipe Anderson,74.33333333333333
L. Miranda,74.33333333333333
Petros,74.33333333333333
R. Soriano,74.33333333333333
G. Quintana,74.33333333333333
Andeson Trigo,74.33333333333333
J. Rodríguez,74.33333333333333
A. Lallana,74.33333333333333
S. Sturaro,74.33333333333333
T. Souček,74.33333333333333
D. Zappacosta,74.33333333333333
Fernando,74.33333333333333
J. Kucka,74.33333333333333
A. Masuaku,74.33333333333333
B. Pavard,74.33333333333333
Marc Roca,74.33333333333333
R. Pereyra,74.33333333333333
Óliver Torres,74.33333333333333
L. De Silvestri,74.33333333333333
J. Willems,74.33333333333333
B. Ndiaye,74.33333333333333
Coke,74.33333333333333
Pablo Sarabia,74.33333333333333
Yuri Berchiche,74.33333333333333
D. Kuzyaev,74.33333333333333
Wendell,74.33333333333333
H. Vanaken,74.33333333333333
M. Dahoud,74.33333333333333
C. Erkin,74.33333333333333
Y. Gerhardt,74.33333333333333
B. Džemaili,74.33333333333333
M. Arnold,74.33333333333333
T. Arslan,74.33333333333333
Kiko Femenía,74.33333333333333
M. Akanji,74.33333333333333
Bruno,74.33333333333333
J. Lerma,74.33333333333333
M. Locatelli,74.33333333333333
Mario Gaspar,74.0
G. Bale,74.0
A. Diawara,74.0
T. Bakayoko,74.0
Júnior Caiçara,74.0
Roque Mesa,74.0
N. Aké,74.0
M. Lopez,74.0
P. Højbjerg,74.0
A. Young,74.0
P. Hrošovský,74.0
A. Cresswell,74.0
P. Max,74.0
Diogo Viana,74.0
Pedro Obiang,74.0
M. van Ginkel,74.0
Andreas Pereira,74.0
Mariano,74.0
Sérgio Oliveira,74.0
D. Drinkwater,74.0
D. Demme,74.0
R. Mandragora,74.0
Fernando,74.0
Omar Mascarell,74.0
F. Grillitsch,74.0
I. Perišić,74.0
H. Hateboer,74.0
Jaume Costa,74.0
A. Golovin,74.0
R. Gagliardini,74.0
R. Bertrand,74.0
L. Castro,74.0
Melvin Parrela,74.0
O. Onazi,74.0
R. Malinovskyi,74.0
Mario Hermoso,74.0
Fran Beltrán,74.0
S. Corchia,74.0
I. Fernández,74.0
M. Valdifiori,74.0
J. Draxler,74.0
S. Lukić,73.66666666666667
O. Wendt,73.66666666666667
J. Lukaku,73.66666666666667
M. De Sciglio,73.66666666666667
P. Pérez,73.66666666666667
C. Fuchs,73.66666666666667
D. Sidibé,73.66666666666667
Denis Suárez,73.66666666666667
N. Bentaleb,73.66666666666667
C. Kramer,73.66666666666667
E. Guichón,73.66666666666667
Ronaldo Esler,73.66666666666667
R. Battaglia,73.66666666666667
S. Widmer,73.66666666666667
Manu García,73.66666666666667
F. Viviani,73.66666666666667
Miguel Veloso,73.66666666666667
Joan Jordán,73.66666666666667
L. Martínez,73.66666666666667
E. Bardhi,73.66666666666667
O. Yokuşlu,73.66666666666667
F. Bustos,73.66666666666667
D. Latza,73.66666666666667
Junior Firpo,73.66666666666667
J. Obi,73.66666666666667
Everticinho,73.66666666666667
N. Maksimović,73.66666666666667
M. Noble,73.66666666666667
F. Fabra,73.66666666666667
A. Wan-Bissaka,73.66666666666667
P. Lees-Melou,73.66666666666667
Marcos Llorente,73.66666666666667
J. Boateng,73.66666666666667
G. Sigurðsson,73.66666666666667
S. Zuber,73.66666666666667
Carlos Soler,73.66666666666667
A. Duncan,73.66666666666667
Y. Bissouma,73.66666666666667
G. Donsah,73.66666666666667
G. Xhaka,73.66666666666667
E. Hysaj,73.66666666666667
Toño García,73.66666666666667
L. Milivojević,73.66666666666667
G. Gönül,73.66666666666667
S. Tonali,73.66666666666667
M. Lowton,73.66666666666667
Aleix Vidal,73.66666666666667
L. Augustinsson,73.33333333333333
Ibai Gómez,73.33333333333333
M. Zaracho,73.33333333333333
Iborra,73.33333333333333
S. Rode,73.33333333333333
G. Clichy,73.33333333333333
J. Cork,73.33333333333333
J. Hendrick,73.33333333333333
S. Sensi,73.33333333333333
J. Martin,73.33333333333333
C. Taylor,73.33333333333333
D. Basta,73.33333333333333
N. Nández,73.33333333333333
F. Schär,73.33333333333333
S. Kolašinac,73.33333333333333
R. Aguilar,73.33333333333333
Reguilón,73.33333333333333
L. Schøne,73.33333333333333
S. Arias,73.33333333333333
C. McGregor,73.33333333333333
Souza,73.33333333333333
João Aurélio,73.33333333333333
Emerson,73.33333333333333
Claudemir,73.33333333333333
J. McCarthy,73.33333333333333
M. Isla,73.33333333333333
A. Dzagoev,73.33333333333333
O. Selnæs,73.33333333333333
J. Allen,73.33333333333333
R. Freuler,73.33333333333333
Sidcley,73.33333333333333
Gedson Fernandes,73.33333333333333
Marçal,73.33333333333333
O. Özyakup,73.33333333333333
A. Smith,73.33333333333333
Elias Fontoira,73.33333333333333
S. Kums,73.33333333333333
A. Marušić,73.33333333333333
P. Zabaleta,73.33333333333333
T. Gebre Selassie,73.33333333333333
J. Pied,73.33333333333333
S. Luna,73.0
D. Sinkgraven,73.0
M. Casco,73.0
J. Pastore,73.0
W. McKennie,73.0
M. Wakaso,73.0
R. Loftus-Cheek,73.0
Lucas Vázquez,73.0
D. Klaassen,73.0
R. Gosens,73.0
C. Lenglet,73.0
F. Vázquez,73.0
M. Doherty,73.0
A. Di María,73.0
Marcelo Goiano,73.0
F. Quignon,73.0
Sidney Pessinho,73.0
Morales,73.0
N. Moisander,73.0
V. Odjidja-Ofoe,73.0
João Pereira,73.0
Cédric,73.0
M. Rojas,73.0
G. Shibasaki,73.0
H. Ziyech,73.0
André Simões,73.0
J. Mascherano,73.0
L. Cook,73.0
E. Badu,73.0
Rodrigo,73.0
A. Hutchinson,73.0
T. Stepanenko,73.0
Y. Ayoub,73.0
G. Castro,73.0
Zubeldia,73.0
A. Samaris,73.0
M. Trauco,73.0
A. Ekdal,73.0
Jorginhson,73.0
A. Trebel,73.0
A. Mooy,73.0
L. Rupp,73.0
R. Rosales,73.0
Victildinho,73.0
B. Henrichs,73.0
Y. Aït Bennasser,73.0
Calero,73.0
Eduardo Henrique,73.0
Oscar,73.0
T. Koopmeiners,72.66666666666667
K. Berlaso,72.66666666666667
J. Matip,72.66666666666667
Adrián González,72.66666666666667
D. da Costa,72.66666666666667
C. Grenier,72.66666666666667
P. Lasne,72.66666666666667
R. Aliendro,72.66666666666667
Capa,72.66666666666667
K. Linetty,72.66666666666667
Tomás Pina,72.66666666666667
L. Baezo,72.66666666666667
Anderson Talisca,72.66666666666667
De Marcos,72.66666666666667
L. Cigarini,72.66666666666667
A. Fulgini,72.66666666666667
V. Castro,72.66666666666667
Javi Martínez,72.66666666666667
L. Gil,72.66666666666667
Alexo Baia,72.66666666666667
I. Sangaré,72.66666666666667
Camarasa,72.66666666666667
Luis Alberto,72.66666666666667
C. Daniels,72.66666666666667
A. Conti,72.66666666666667
D. Santon,72.66666666666667
Zeca,72.66666666666667
M. Saracchi,72.66666666666667
Diogo Dalot,72.66666666666667
E. Palacios,72.66666666666667
Éder Militão,72.66666666666667
F. Neuhaus,72.66666666666667
G. Di Lorenzo,72.66666666666667
D. Calabria,72.66666666666667
F. Frei,72.66666666666667
R. Brady,72.66666666666667
A. Turan,72.66666666666667
D. Zurutuza,72.66666666666667
D. Samassékou,72.66666666666667
R. Marin,72.66666666666667
Léo Matos,72.66666666666667
Y. Belhanda,72.66666666666667
Luiz Gustavo,72.66666666666667
K. Vogt,72.66666666666667
J. Clasie,72.66666666666667
T. Mangani,72.66666666666667
S. Nzonzi,72.66666666666667
P. Skjelbred,72.66666666666667
S. McTominay,72.66666666666667
J. Schmid,72.66666666666667
J. Mathieu,72.66666666666667
P. van Aanholt,72.66666666666667
C. Jallet,72.66666666666667
D. Brosinski,72.33333333333333
N. Mendy,72.33333333333333
M. Arambarri,72.33333333333333
L. Menossi,72.33333333333333
Pablo Maffeo,72.33333333333333
Camacho,72.33333333333333
J. Tavernier,72.33333333333333
G. Giménez,72.33333333333333
Danilo,72.33333333333333
M. Schneiderlin,72.33333333333333
B. Oczipka,72.33333333333333
A. Candreva,72.33333333333333
L. Olaza,72.33333333333333
B. Dabo,72.33333333333333
Dalbert,72.33333333333333
Y. Sankharé,72.33333333333333
J. McGinn,72.33333333333333
A. Ioniță,72.33333333333333
J. Lingard,72.33333333333333
M. Wolf,72.33333333333333
R. Cohade,72.33333333333333
T. Castagne,72.33333333333333
P. Capelle,72.33333333333333
D. Cataldi,72.33333333333333
V. Guzmán,72.33333333333333
L. Antonelli,72.33333333333333
M. Pašalić,72.33333333333333
Recio,72.33333333333333
Hugo Mallo,72.33333333333333
R. Saravia,72.33333333333333
Gabriel Paulista,72.33333333333333
Ki Sung Yueng,72.33333333333333
J. Mikel,72.33333333333333
M. Ritchie,72.33333333333333
P. Dybala,72.33333333333333
M. de Ligt,72.33333333333333
J. Guðmundsson,72.0
M. Reus,72.0
P. Groß,72.0
J. McArthur,72.0
T. Cairney,72.0
E. Cecchini,72.0
I. Kahveci,72.0
Pedraza,72.0
O. Elabdellaoui,72.0
D. Praet,72.0
Renato Sanches,72.0
A. Ring,72.0
S. Radu,72.0
J. Jankto,72.0
N. Chalobah,72.0
P. Hetemaj,72.0
Douglas,72.0
Lucas Lima,72.0
B. Bourigeaud,72.0
S. Ristovski,72.0
K. Ayhan,72.0
L. Stindl,72.0
J. van der Heijden,72.0
M. Elneny,72.0
Gazzolisco,72.0
B. Stambouli,72.0
L. Perrin,72.0
V. Behrami,72.0
Claudiano Sobrino,72.0
L. Blas,72.0
V. Wanyama,72.0
R. Pizarro,72.0
F. Johnson,72.0
S. Serdar,72.0
Montoya,72.0
C. Coady,72.0
M. Darmian,72.0
Córdoba,72.0
O. Etebo,72.0
R. Durmisi,72.0
M. Bradley,72.0
S. Prcić,72.0
S. de Vrij,72.0
H. Mkhitaryan,72.0
A. Najar,72.0
N. Nkoulou,72.0
N. Domínguez,72.0
T. Monconduit,72.0
Alberto Moreno,72.0
M. Höger,72.0
B. Zungu,72.0
R. Karsdorp,72.0
V. Darida,72.0
E. Mena,72.0
M. Ginter,72.0
P. Billing,72.0
Tiago Pinto,72.0
Lucas Paquetá,72.0
Unai López,72.0
N. Mukiele,72.0
O. Norwood,72.0
J. Bořil,72.0
Porphirinho,71.66666666666667
V. Vada,71.66666666666667
F. Novák,71.66666666666667
L. Suárez,71.66666666666667
Jesus Andradaldo,71.66666666666667
M. Rog,71.66666666666667
B. Alemán,71.66666666666667
R. Saïss,71.66666666666667
J. Mojica,71.66666666666667
I. Doumbia,71.66666666666667
O. Aina,71.66666666666667
L. Rodríguez,71.66666666666667
O. Trejo,71.66666666666667
K. Tierney,71.66666666666667
J. Guilavogui,71.66666666666667
Luisinho,71.66666666666667
D. Pröpper,71.66666666666667
N. Gudelj,71.66666666666667
A. Maier,71.66666666666667
E. Insúa,71.66666666666667
Clinton Mata,71.66666666666667
D. Garmash,71.66666666666667
G. Konan,71.66666666666667
E. Hallfreðsson,71.66666666666667
G. Bong,71.66666666666667
E. Hazard,71.66666666666667
M. Salah,71.66666666666667
E. Dier,71.66666666666667
V. Manceau,71.66666666666667
A. Cubas,71.66666666666667
Iturraspe,71.66666666666667
Pedro Rebocho,71.66666666666667
G. Fernández,71.66666666666667
Canales,71.66666666666667
L. Ponzio,71.66666666666667
P. Pekarík,71.66666666666667
M. Guendouzi,71.66666666666667
A. Correa,71.66666666666667
S. Taïder,71.66666666666667
I. Bennacer,71.66666666666667
J. Baumgartlinger,71.66666666666667
M. Fellaini,71.66666666666667
Douglas Luiz,71.66666666666667
M. Gaćinović,71.66666666666667
Pere Pons,71.66666666666667
J. Kurtić,71.66666666666667
K. El Ahmadi,71.66666666666667
Muniain,71.66666666666667
Fransérgio,71.66666666666667
J. Ramírez,71.66666666666667
G. Pizarro,71.66666666666667
J. Svensson,71.66666666666667
D. Foulquier,71.66666666666667
A. Maher,71.66666666666667
E. Salvio,71.66666666666667
R. Bensebaini,71.66666666666667
A. Haidara,71.66666666666667
V. Koziello,71.66666666666667
Portu,71.66666666666667
A. Thomasson,71.66666666666667
K. Laifis,71.66666666666667
P. Kimpembe,71.66666666666667
J. Geis,71.66666666666667
K. Gibbs,71.66666666666667
Xeka,71.66666666666667
A. Grassi,71.33333333333333
M. Çağıran,71.33333333333333
Alex Berenguer,71.33333333333333
Neymar Jr,71.33333333333333
G. Escalante,71.33333333333333
M. Rits,71.33333333333333
C. Piccini,71.33333333333333
J. Fleck,71.33333333333333
G. Krychowiak,71.33333333333333
L. Phiri,71.33333333333333
Sergio Tejera,71.33333333333333
Edvaldisco,71.33333333333333
K. Mbabu,71.33333333333333
Anuar,71.33333333333333
T. Serero,71.33333333333333
M. Cáceres,71.33333333333333
P. Verhaegh,71.33333333333333
Y. Yotún,71.33333333333333
P. Diop,71.33333333333333
B. Sarr,71.33333333333333
H. Traoré,71.33333333333333
P. Rosario,71.33333333333333
T. Davies,71.33333333333333
Melero,71.33333333333333
D. Godín,71.33333333333333
Yuri Ribeiro,71.33333333333333
F. Midtsjø,71.33333333333333
M. Morozyuk,71.33333333333333
O. Akhmedov,71.33333333333333
F. Mattiello,71.33333333333333
D. D'Ambrosio,71.33333333333333
D. Limberský,71.33333333333333
M. Çelik,71.33333333333333
G. İnler,71.33333333333333
Lato,71.33333333333333
M. Rybus,71.33333333333333
I. Amadou,71.33333333333333
J. Fuenzalida,71.33333333333333
Willian,71.33333333333333
S. Ward,71.33333333333333
B. Dejaegere,71.33333333333333
A. Živković,71.33333333333333
E. Giaccherini,71.33333333333333
M. Cabrera,71.33333333333333
F. Belluschi,71.33333333333333
Pol Lirola,71.33333333333333
N. Domínguez,71.33333333333333
M. Uribe,71.33333333333333
V. Coufal,71.33333333333333
William,71.33333333333333
R. Krunić,71.33333333333333
H. Maguire,71.33333333333333
S. Sessègnon,71.33333333333333
M. Suttner,71.33333333333333
G. Cimirot,71.33333333333333
Melendo,71.33333333333333
D. Laxalt,71.33333333333333
R. Delgado,71.33333333333333
D. Stephens,71.33333333333333
M. Albornoz,71.33333333333333
Adrià Pedrosa,71.33333333333333
O. Mangala,71.33333333333333
I. Piatti,71.33333333333333
A. Maitland-Niles,71.33333333333333
R. Tapia,71.0
I. Traoré,71.0
Álex Fernández,71.0
Dídac Vilà,71.0
A. Tameze,71.0
Hilton,71.0
O. Şahiner,71.0
F. Mancuello,71.0
S. Kagawa,71.0
L. Vangioni,71.0
M. Sabitzer,71.0
V. Buyalskyi,71.0
A. Baba,71.0
Park Joo Ho,71.0
J. Léa Siliki,71.0
Emilio Piodão,71.0
Iñigo Pérez,71.0
V. Ćorluka,71.0
C. Biraghi,71.0
J. Veltman,71.0
Fábio,71.0
Granell,71.0
André Horta,71.0
A. Christensen,71.0
C. Ortíz,71.0
O. Ntcham,71.0
L. Klostermann,71.0
K. Nakamura,71.0
D. Nagbe,71.0
K. Stafylidis,71.0
N. Stark,71.0
T. Chandler,71.0
J. Mæhle,71.0
Miguel Lopes,71.0
E. Buendía,71.0
N. Asare,71.0
E. Barreto,71.0
R. Barkley,71.0
Luis Milla,71.0
H. Kaldırım,71.0
M. Musacchio,71.0
Guilherme,71.0
J. Shelvey,71.0
Lafortiscinho,71.0
J. Pinola,71.0
I. Radovanović,71.0
D. Dumfries,71.0
Nuno Pinto,71.0
Tarantini,71.0
V. Kompany,71.0
X. Schlager,71.0
V. Ignatiev,71.0
N. Amiri,71.0
L. Rigoni,71.0
S. Fofana,71.0
O. Veigneau,71.0
V. Birsa,71.0
W. Barrios,71.0
C. Maggio,71.0
Juanfran,71.0
D. Brašanac,71.0
Arbilla,71.0
João Bardinho,71.0
L. Crisetig,71.0
M. Zeegelaar,71.0
H. Saivet,71.0
D. Gosling,71.0
Douglas Costa,71.0
M. Fernández,71.0
J. Ralls,71.0
João Schmidt,71.0
T. Hazard,71.0
N. Hult,71.0
C. Dagba,71.0
V. Pajot,71.0
Arana,70.66666666666667
E. Gutiérrez,70.66666666666667
A. N'Diaye,70.66666666666667
C. Mayada,70.66666666666667
S. Wuytens,70.66666666666667
Y. Sabaly,70.66666666666667
T. Müller,70.66666666666667
Jorge Miramón,70.66666666666667
L. Fejsa,70.66666666666667
B. Douglas,70.66666666666667
S. Al Faraj,70.66666666666667
J. Dueñas,70.66666666666667
M. Škriniar,70.66666666666667
S. Rybalka,70.66666666666667
A. Král,70.66666666666667
M. Mittelstädt,70.66666666666667
R. Salinas,70.66666666666667
W. Rooney,70.66666666666667
L. Bittencourt,70.66666666666667
Miranda,70.66666666666667
T. Adams,70.66666666666667
Cucurella,70.66666666666667
Rochina,70.66666666666667
E. Lamela,70.66666666666667
S. Missiroli,70.66666666666667
Silas Almeim,70.66666666666667
L. Aued,70.66666666666667
Álvaro Tejero,70.66666666666667
J. De Guzmán,70.66666666666667
Cláudio Falcão,70.66666666666667
Kaimo Lima,70.66666666666667
T. Bašić,70.66666666666667
R. Sterling,70.66666666666667
D. Sow,70.66666666666667
R. Donk,70.66666666666667
Chiquinho,70.66666666666667
E. Schelotto,70.66666666666667
J. Foyth,70.66666666666667
Aleñá,70.66666666666667
R. Perraud,70.66666666666667
A. De Sart,70.66666666666667
L. Marrone,70.66666666666667
Fábio Espinho,70.66666666666667
V. Ayala,70.66666666666667
F. Valverde,70.66666666666667
A. Costa,70.66666666666667
X. Shaqiri,70.66666666666667
I. Strinić,70.66666666666667
Oswaldito Cuba,70.66666666666667
C. Borges,70.66666666666667
J. Gondorf,70.66666666666667
V. Verre,70.66666666666667
Sequeira,70.66666666666667
M. Gonalons,70.66666666666667
Caju,70.66666666666667
H. Canteros,70.66666666666667
Álex Moreno,70.66666666666667
C. Sánchez,70.66666666666667
Medrán,70.66666666666667
M. Jensen,70.66666666666667
F. Zuqui,70.66666666666667
L. Advíncula,70.66666666666667
A. Rüdiger,70.66666666666667
T. Leibold,70.66666666666667
P. Bargfrede,70.66666666666667
Mikel San José,70.66666666666667
S. İnan,70.66666666666667
A. Ricaurte,70.66666666666667
B. Sagna,70.66666666666667
F. Hanin,70.66666666666667
S. Sanogo,70.66666666666667
T. Foket,70.66666666666667
S. Davis,70.66666666666667
D. Yedlin,70.66666666666667
J. Iličić,70.66666666666667
B. Kamara,70.66666666666667
O. Tufan,70.66666666666667
Mauro Cildinho,70.66666666666667
E. Gnahoré,70.66666666666667
D. Le Tallec,70.66666666666667
M. Albrighton,70.33333333333333
Otávio,70.33333333333333
B. Verstraete,70.33333333333333
T. Delaine,70.33333333333333
Nacho,70.33333333333333
T. Holeš,70.33333333333333
R. Thomas,70.33333333333333
R. James,70.33333333333333
Thiago Maia,70.33333333333333
O. Alonso,70.33333333333333
F. Gutiérrez,70.33333333333333
J. Hendrix,70.33333333333333
Javi García,70.33333333333333
Gelson Fernandes,70.33333333333333
S. Özbayraklı,70.33333333333333
Javi López,70.33333333333333
M. Risse,70.33333333333333
X. Chavalerin,70.33333333333333
B. Zuculini,70.33333333333333
F. Bachirou,70.33333333333333
J. Błaszczykowski,70.33333333333333
S. Larsson,70.33333333333333
Iago,70.33333333333333
B. Heynen,70.33333333333333
A. Chumacero,70.33333333333333
E. Kalinski,70.33333333333333
J. Silva,70.33333333333333
K. Möhwald,70.33333333333333
S. Sow,70.33333333333333
H. Nordtveit,70.33333333333333
A. Ulmer,70.33333333333333
K. Malong,70.33333333333333
